numero,ano,ementa
1012,1992,Reajusta os vencimentos do Pessoal da Prefeitura e dá Outras Providencias.
1013,1992,Autoriza ao Poder Executivo desafetar áreas de terrenos próprios do Patrimônio Municipal e dá Outras Providencias.
1014,1992,Concede pensão financeira à viuva do ex-Vice-Prefeito do Município e dá outras providências.
1015,1992,"Cria Cargos (Funções) para efeito de concursos, e dá outras providências."
1016,1992,"Dá nova redação à alínea ""a"" do artigo 1º da Lei 1013 de 05.02.92."
1017,1992,Insere Parágrafo Único do Art. 1º da Lei n. 979 de 16.10.90.
1018,1992,Autorizo o Poder Executivo a Firmar acordo de parcelamento de dívida para com o INSTITUTO NACIONAL DE SEGURO SOCIAL - INSS - e dá outras providências.
1019,1992,Reajusta os vencimentos do Pessoal da Prefeitura e dá outras providencias.
1020,1992,Concede pensão financeira à viúva do Professor Subvencionado João Batista da Silva.
1021,1992,Dispõe sobre as Diretrizes Orçamentárias para o exercício de 1993 e dá outras providencias.
1022,1992,Dá nova redação no artigo 1º da Lei 1009 de 1.11.91.
1023,1992,Autoriza ao Poder Executivo desmembrar e desafetar área de terreno de domínio público municipal e dá outras providencias.
1024,1992,Reajusta os vencimentos dos Servidores do Município e dá Outras Providencias.
1025,1992,Autoriza a abertura de Crédito Especial e dá Outras Providencias.
1026,1992,Desafeta bem público patrimonial do Município e dá outras providências.
1027,1992,Oferece incentivos sobre IPTU e dá outras providencias.
1028,1992,Da denominação a prédios e logradouros públicos.
1029,1992,Desafeta área de terreno de domínio público municipal e dá outras providências.
1030,1992,Orça a Receita e Fixa a Despesa do Município para o Exercício de 1993.
1031,1992,Concede abono de NATAL aos servidores do Município e dá outras providências.
1032,1993,"Reajusta o salário dos serviçodores municipais, ativos, inativos e dos pensionistas."
1033,1993,Cria cargos de assessores dos secretarios municipais
1034,1993,"Autoriza a dispensa de multa, juros e redução de 30% dos ditos referentes ao iptu e da outras providências."
1035,1993,"Autoriza os chefes dos poderes executivos e legislativos a cumprirem o percentual de aumento de 36,67% aos salários dos serviçodores."
1036,1993,Dá designação a logradouros públicos - rua Hilda da Costa Monteiro e rua José Marinho Alves
1037,1993,Autoriza a abertura de crédito especial e da outras providências
1038,1993,"Cria o departamento de agricultura, cargos comissionados e da outras providências"
1039,1993,"Autoriza o chefe do poder executivo a receber doação da Usina Ipojuca, com encargos de uma área de terras de 15,87 h em Ipojuca sede"
1040,1993,Autoriza o poder executivo a contratar parcelamento de dívida com o fundo de garantia por tempo de serviço fgts e dá outras providências correlatas
1041,1993,Dá designação a logradouros av. Gilvan Leonico Marques e Mercado Público Municipal ver. José Marinho Alves Ipojuca
1042,1993,"Dá designação ao estádio municipal de Nossa Senhora do Ó - estádio Esílio Cardoso, neste município"
1043,1993,Dá designação a bem público centro de saúde vereador José Euclides da Cruz - Camela
1044,1993,Autoriza o reajuste de salários dos serviçodores públicos do município
1045,1993,Autoriza o reajuste de salários dos servidores públicos municipais
1046,1993,"Revoga a lei n. 998/91 e autoriza o poder executivo municipal a conceder o direito real de uso da área loteada, remanescente do lotealmento canoas, da outras providências."
1047,1993,Cria cargos em comissão e dá outras providências
1048,1993,"Autoriza o poder executivo a custear as despesas do prefeito, vice-prefeito, vereadores e secretários municipais, com tratamento médico hospitalar e dá outras providÊncias."
1049,1993,"Adapta as leis 804/82, 855/85, 876/86 ao disposto no par. 3, art. 11, da lei orgânica municipal - pensão as viúvas de ex-vereadores"
1050,1993,Dispõe sobre as diretrizes para elaboraçãao do orçamento do município para 1994 e dá outras providências
1051,1993,Autoriza o reajuste de salário dos serviçodores públicos do município
1052,1993,Autoriza ao poder executivo municipal a conceder redução de 50% na correção monetária e multa incidente sobre o iptu
1053,1993,Autoriza o reajuste dos salários dos serviçodores públicos do município
1054,1993,Orça a receita e fixa a despesa do município para o exercício de 1994
1055,1993,Dá nova redação ao art.2 da lei 1052/93 de 10/09/93
1056,1993,Autoriza o reajuste de salário dos serviçodores públicos do município
1057,1993,Autoriza o reajuste de salário dos servidores públicos do município
1058,1994,Reajusta o salário dos servidores municipais face ao novo salário mínimo
