,numero,ano,ementa,categoria_geral,sub_categoria
0,1012,1992,Reajusta os vencimentos do pessoal da prefeitura e dá outras providencias.,reajusta,outra
1,1013,1992,Autoriza ao poder executivo desafetar áreas de terrenos próprios do patrimônio municipal e dá outras providencias.,autoriza poder executivo,outra
2,1014,1992,Concede pensão financeira à viuva do ex-vice-prefeito do município e dá outras providências.,concede,outra
3,1015,1992,"Cria cargos (funções) para efeito de concursos, e dá outras providências.",cria,cargos
4,1016,1992,"Dá nova redação à alínea ""a"" do artigo 1º da lei 1013 de 05.02.92.",altera lei,-
5,1017,1992,Insere parágrafo único do art. 1º da lei n. 979 de 16.10.90.,outra,outra
6,1018,1992,Autorizo o poder executivo a firmar acordo de parcelamento de dívida para com o instituto nacional de seguro social - inss - e dá outras providências.,outra,outra
7,1019,1992,Reajusta os vencimentos do pessoal da prefeitura e dá outras providencias.,reajusta,outra
8,1020,1992,Concede pensão financeira à viúva do professor subvencionado joão batista da silva.,concede,outra
9,1021,1992,Dispõe sobre as diretrizes orçamentárias para o exercício de 1993 e dá outras providencias.,dispõe,diretrizes
10,1022,1992,Dá nova redação no artigo 1º da lei 1009 de 1.11.91.,altera lei,-
11,1023,1992,Autoriza ao poder executivo desmembrar e desafetar área de terreno de domínio público municipal e dá outras providencias.,autoriza poder executivo,outra
12,1024,1992,Reajusta os vencimentos dos servidores do município e dá outras providencias.,reajusta,outra
13,1025,1992,Autoriza a abertura de crédito especial e dá outras providencias.,autoriza poder executivo,crédito
14,1026,1992,Desafeta bem público patrimonial do município e dá outras providências.,desafeta,outra
15,1027,1992,Oferece incentivos sobre iptu e dá outras providencias.,outra,outra
16,1028,1992,Da denominação a prédios e logradouros públicos.,outra,outra
17,1029,1992,Desafeta área de terreno de domínio público municipal e dá outras providências.,desafeta,outra
18,1030,1992,Orça a receita e fixa a despesa do município para o exercício de 1993.,outra,outra
19,1031,1992,Concede abono de natal aos servidores do município e dá outras providências.,concede,outra
20,1032,1993,"Reajusta o salário dos serviçodores municipais, ativos, inativos e dos pensionistas.",reajusta,outra
21,1033,1993,Cria cargos de assessores dos secretarios municipais,cria,cargos
22,1034,1993,"Autoriza a dispensa de multa, juros e redução de 30% dos ditos referentes ao iptu e da outras providências.",autoriza poder executivo,outra
23,1035,1993,"Autoriza os chefes dos poderes executivos e legislativos a cumprirem o percentual de aumento de 36,67% aos salários dos serviçodores.",autoriza poder executivo,outra
24,1036,1993,Dá designação a logradouros públicos - rua hilda da costa monteiro e rua josé marinho alves,denomina,logradouros
25,1037,1993,Autoriza a abertura de crédito especial e da outras providências,autoriza poder executivo,crédito
26,1038,1993,"Cria o departamento de agricultura, cargos comissionados e da outras providências",cria,outra
27,1039,1993,"Autoriza o chefe do poder executivo a receber doação da usina ipojuca, com encargos de uma área de terras de 15,87 h em ipojuca sede",autoriza poder executivo,outra
28,1040,1993,Autoriza o poder executivo a contratar parcelamento de dívida com o fundo de garantia por tempo de serviço fgts e dá outras providências correlatas,autoriza poder executivo,outra
29,1041,1993,Dá designação a logradouros av. gilvan leonico marques e mercado público municipal ver. josé marinho alves ipojuca,denomina,logradouros
30,1042,1993,"Dá designação ao estádio municipal de nossa senhora do ó - estádio esílio cardoso, neste município",denomina,estádio
31,1043,1993,Dá designação a bem público centro de saúde vereador josé euclides da cruz - camela,denomina,bem
32,1044,1993,Autoriza o reajuste de salários dos serviçodores públicos do município,autoriza poder executivo,outra
33,1045,1993,Autoriza o reajuste de salários dos servidores públicos municipais,autoriza poder executivo,outra
34,1046,1993,"Revoga a lei n. 998/91 e autoriza o poder executivo municipal a conceder o direito real de uso da área loteada, remanescente do lotealmento canoas, da outras providências.",revoga,outra
35,1047,1993,Cria cargos em comissão e dá outras providências,cria,cargos
36,1048,1993,"Autoriza o poder executivo a custear as despesas do prefeito, vice-prefeito, vereadores e secretários municipais, com tratamento médico hospitalar e dá outras providências.",autoriza poder executivo,outra
37,1049,1993,"Adapta as leis 804/82, 855/85, 876/86 ao disposto no par. 3, art. 11, da lei orgânica municipal - pensão as viúvas de ex-vereadores",outra,outra
38,1050,1993,Dispõe sobre as diretrizes para elaboraçãao do orçamento do município para 1994 e dá outras providências,dispõe,diretrizes
39,1051,1993,Autoriza o reajuste de salário dos serviçodores públicos do município,autoriza poder executivo,outra
40,1052,1993,Autoriza ao poder executivo municipal a conceder redução de 50% na correção monetária e multa incidente sobre o iptu,autoriza poder executivo,outra
41,1053,1993,Autoriza o reajuste dos salários dos serviçodores públicos do município,autoriza poder executivo,outra
42,1054,1993,Orça a receita e fixa a despesa do município para o exercício de 1994,outra,outra
43,1055,1993,Dá nova redação ao art.2 da lei 1052/93 de 10/09/93,altera lei,-
44,1056,1993,Autoriza o reajuste de salário dos serviçodores públicos do município,autoriza poder executivo,outra
45,1057,1993,Autoriza o reajuste de salário dos servidores públicos do município,autoriza poder executivo,outra
46,1058,1994,Reajusta o salário dos servidores municipais face ao novo salário mínimo,reajusta,outra
47,1059,1994,Autoriza o chefe do poder executivo municipal a firmar acordo de pagamento de débitos junto ao inss,autoriza poder executivo,outra
48,1060,1994,Reajusta os salários dos servidores municipais face o salário mínimo para fevereiro,reajusta,outra
49,1061,1994,Fixa o salário mínimo em urv e dá outras providências,receitas e despesas,fixa
50,1062,1994,Dá nova redação do art. 1 da lei 1048/93 de 05/08/1993 e acrescenta parágrafos,altera lei,-
51,1063,1994,Autorizao poder executivo a alienar veículo imprestável para o uso,outra,outra
52,1064,1994,Cria o conselho municipal de defesa do meio ambiente - condema,cria,conselho
53,1065,1994,Cria o conselho municipal de agricultura - cma,cria,conselho
54,1066,1994,"Cria cargos efetivos, autorizando realização de concurso público para preenchimento e dá outras providências",cria,cargos
55,1067,1994,Autoriza o poder executivo a firmar convênio com o detram-pe,autoriza poder executivo,outra
56,1068,1994,Reajusta os vencimentos de contador e dá outras providências,reajusta,outra
57,1069,1994,"Cria o conselho e o fundo municipal de promoção do direitos da criança e do adolescente do município do ipojuca, e dá outras providências.",cria,conselho
58,1070,1994,Dispõe sobre as diretizes para a elaboração de orçamento do município para o exercício de 1195 e da outras providências,dispõe,outra
59,1071,1994,Autoriza o poder executivo a dar baixa do patrimônio municipal de sucatas de veículos acidentados.,autoriza poder executivo,outra
60,1072,1994,"Cria a secretaria de administrao o departamento comunitáio e de eventos, juntamente com o cargo comissionado de assessor",cria,secretaria
61,1073,1994,Eleva os valores autorizados para abertura de crédito suplementares e dá outras providências,outra,outra
62,1074,1994,Cria plano de cargos e salários (plano de carreira) tranforma nomenclatura de cargos e da outras providências,cria,outra
63,1076,1995,Autoriza o poder executivo municipal a receber doção de imóveis com encargos,autoriza poder executivo,outra
64,1077,1995,Concede isenção de iss por dois anos ao empreendimento intermares village situado na praia ponta de serrambi deste municipio,concede,outra
65,1078,1995,Cria cargos de provimento efetivo para o concurso público e dá outras providências,cria,cargos
66,1079,1995,Dispõeõe sobre aplicação da medida provisória n. 809/94 que concede abono aos trabalhadores no mês de janeiro de 1995,outra,outra
67,1080,1995,Autoriza o poder executivo a cancelar reajuste salarial do seu funcionalismo e da outras providências,autoriza poder executivo,outra
68,1081,1995,"Autoriza o poder executivo a desafetar bens imóveis de uso especial, lotear área com a área remanescente do loteamento ponta de serrambi, e aliená-los atrevés de doação",autoriza poder executivo,outra
69,1082,1995,Fixa o valor do salário mínimo para os funcionários públicos do município a partir de 1 de maio do ano em curso.,receitas e despesas,fixa
70,1083,1995,Dispõe sobre a revalidação dos certames públicos realizados pelo município de ipojuca no exercício de 1990 e 1992 e dá outras providências,dispõe,outra
71,1084,1995,"Concede ajuda finaceira mensal aos ex prefeitos, jaime agostinho lins e luiz manoel nogueira",concede,outra
72,1085,1995,Dispõe sobre as diretrizes para elaboração e execução do orçamento do município para o exercio de 1996 e outras providências,dispõe,diretrizes
73,1086,1995,Cria cargos em comissão e autoriza o poder executivo a contratar pessoal temporário para suprir as deficiências da secretaria de saúde,cria,cargos
74,1087,1995,"Dispõe sobre a reorganização do quadro de pessoal da câmara municipal de ipojuca, estado de pernambuco, cria cargos, fixa vencimentos e da outras providências",dispõe,outra
75,1088,1995,"Dá nova redação aos arts. 72. da lei n. 1070/94, de 02/08/1994, e, parágrafo único, do art. 11, da lei n. 1085/95, de 16/06/1995",altera lei,-
76,1089,1995,"Autoriza o poder executivo municipal a permutar o lote 15, quadra m-3, ambos no loteamento enseada de serrambi, neste município",autoriza poder executivo,outra
77,1090,1995,"Atribui denominação a bem público municipal e da outras providências. banda marcial professora maria josé ferreira de oliveira, banda marcial da escola municipla ministro jarbas passarinho do distrito de camela",denomina,bem
78,1091,1995,"Denomina rua josé hipolito monteiro a rua atualmente denominada primeira travessa do colégio aderbal jurema, na cidade de ipojuca",denomina,rua
79,1092,1995,Denomina rua theodomiro josé camargo silva a rua atualmente denominada segunada travessa do colégio aderbal jurema na cidade de ipojuca,denomina,rua
80,1093,1995,Denomina rua mário luiz cavalcanti a atualmente denominada travessa antônio bonifácio,denomina,rua
81,1094,1995,"Atribui a bem público municipal e da outras providências, fica denominada banda marcial joão costa a banda marcial da escola municipal maria das dores do distrito de nossa senhora do ó",denomina,outra
82,1095,1995,Dispõe sobre os feriados municipais (torna feriado municipal o dia de corpos criste),dispõe,outra
83,1096,1995,"Declara ponto facultativo na rede escolar púlica municipal o dia 11 de agosto, dia do estudante",outra,outra
84,1097,1995,Orça a receita e fixa despesas do município para o exercio de 1996,outra,outra
85,1098,1995,"Concede isenção do iss, imposto sobre serviços",concede,outra
86,1099,1995,Concede pensão ao ex prefeito do município reconhecidamente pobres e da outras providências,concede,outra
87,1100,1995,Institui a gratificação de produtividade fiscal e doutras providências,institui,outra
88,1101,1995,"Cria cargos de provimento em comissão, fixa vencimentos através da atribuição de símbolos e dá outras providências",cria,cargos
89,1102,1995,Altera o art.2 da lei municipal 1046/93 e dá outras providências,altera lei,-
90,1103,1996,Dispõe sobre créditos adicionais e dá outras providências.,dispõe,outra
91,1104,1996,Dispõe sobre a interveniência da câmara municipal do ipojuca em operações do crédito para os funcionários e vereadores a dá outras providências.,dispõe,outra
92,1105,1996,Desafeta área pública e autoriza sua doação à paróquia de são miguel.,desafeta,outra
93,1106,1996,Atribui denominação a bem público e dá outras providências.,denomina,bem
94,1107,1996,Atribui denominação a bem público e dá outras providências.,denomina,bem
95,1108,1996,Atribui denominação a bem público e dá outras providências.,denomina,bem
96,1109,1996,Atribui denominação a bem público e dá outras providências,denomina,bem
97,1110,1996,Atribui denominação a bem público e dá outras providências.,denomina,bem
98,1111,1996,Atribui denominação a bem publico e da outras providências.,denomina,bem
99,1112,1996,Atribui denominação a bem publico e da outras providências.,denomina,bem
100,1113,1996,Atribui denominação a bem público e dá outras providências.,denomina,bem
101,1114,1996,"Cria cargos de provimento em comissão, fixa vencimentos e dá outras providências.",cria,cargos
102,1115,1996,Autoriza a abertura de crédito suplementar e dá outras providências.,autoriza poder executivo,crédito
103,1116,1996,Autoriza a abertura de crédito suplementar e dá outras providências.,autoriza poder executivo,crédito
104,1117,1996,Reajusta vencimentos dos supervisores do poder legislativo municipal do ipojuca e dá outras providências.,reajusta,outra
105,1118,1996,Dispõe sobre as diretrizes orçamentárias do município e sua execução em 1997 e dá outras providências.,dispõe,diretrizes
106,1119,1996,Isenta os recenseadores do ibge do pagamento do iss sobre seus ganhos.,outra,outra
107,1120,1996,Autoriza a abertura de crédito suplementar e dá outras providências.,autoriza poder executivo,crédito
108,1121,1996,Prorroga a isenção do iss concedida ao hotel intermares.,outra,outra
109,1122,1996,"Autoriza o poder executivo a doar à telecomunicação de pernambuco s/a - telpe o sistema telefônico ddd/ddi, implantado na localidade de porto de galinhas, deste município.",autoriza poder executivo,outra
110,1123,1996,Dispõe sobre o percentual de repasse de duodécimos à câmara municipal de vereadores e dá outras providências.,dispõe,outra
111,1124,1996,"Cria cargos de provimento em comissão, fixa vencimentos através de atribuições de símbolos e dá outras providências correlatas.",cria,cargos
112,1125,1996,Dispõe sobre a verba de apoio ao gabinete do vereador e dá outras providências.,dispõe,outra
113,1126,1997,Orça a receita e fixa a despesa do município para o exercício de 1997.,outra,outra
114,1127,1997,"Cria a secretaria de turismo, seus cargos e as respectivas remunerações.",cria,secretaria
115,1128,1997,"Reorganiza, criando e extinguindo os cargos comissionados e organiza a tabela de vencimentos.",outra,outra
116,1129,1997,"Cria cargos de provimento em comissão, fixa vencimentos a_ través de atribuições de sim bolo e dá outras providencias.",cria,cargos
117,1130,1997,Dispõe scbre a contratação temporária de pessoal e dá outras providencias.,dispõe,contratação
118,1131,1997,Autoriza a abertura de crédito especial e dá outras providências.,autoriza poder executivo,crédito
119,1132,1997,Autoriza a abertura de crédito adicional suplementar e dá outras providências.,autoriza poder executivo,crédito
120,1133,1997,Cria cargo comissionado e gratificação e dá outras providências.,cria,outra
121,1134,1997,Oferece incentivos sobre divida ativa tributária e dá outras providências.,outra,outra
122,1135,1997,"Cria cargos comissionados, no âmbito do poder executivo municipal.",cria,cargos
123,1136,1997,Estabelece as diretrizes orçamen tárias do nünicípio de tras providencias.,receitas e despesas,estabelece
124,1137,1997,?,?,outra
125,1138,1997,Institui o fundo municipal de saúde e dá outras providencias.,institui,fundo
126,1139,1997,Cria o conselho municipal de assistência social - cmas e dá outras providências.,cria,conselho
127,1140,1997,Cria o fundo de assistência social e dá outras providencias.,cria,outra
128,1141,1997,Autoriza a concessão de subvenções e dá outras providencias.,autoriza poder executivo,outra
129,1142,1997,Autoriza a abertura de crédito especial e dá outras providencias.,autoriza poder executivo,crédito
130,1143,1997,Altera classificação de cargos comissionados da secretaria de turismo e dá outras providencias.,altera lei,-
131,1144,1997,"Autoriza o poder executivo a alienar ações da petróleo brasileiro s/a - petrobrás, e dá outras providencias.",autoriza poder executivo,outra
132,1145,1997,"Dispõe sobre a contratação tempo determinado para atender às necessidades do plano diretor do "" aedes aegypti"" do brasil peaa - do governo federal, nos termos do inciso ix do artigo 37 da constituição federal e dá outras providencias.",dispõe,contratação
133,1146,1997,Autoriza alienação de bens inservíveis e dá outras providencias.,autoriza poder executivo,outra
134,1147,1997,Altera a lei n° 1.100/95 e dá outras providencias.,altera lei,-
135,1148,1997,Altera vantagens dos professores do ensino de 1°. grau da rede municipal e dá outras providências.,altera lei,-
136,1149,1997,Estima a receita e fixa a despesa para o exercício financeiro de 1998.,receitas e despesas,estima
137,1150,1997,Cria o conselho municipal de alimentação escolar e dá outras providencias.,cria,conselho
138,1151,1997,"Concede isenção de imposto sobre serviços de qualquer natureza - iss, incidente sobre os serviços de construção civil do hotel summerville beach resort.",concede,outra
139,1152,1997,Dispõe sobre o plano plurianual de investimentos para o período de 1998 a 2001.,dispõe,plano
140,1153,1997,"Revoga os artigds 3°. e 4°. da lei n° l .011, de 27 de dezembro de 1991, e dá outras providencias.",revoga,outra
141,1154,1997,Dota de nomes as avenidas e ruas do loteamento praia ponta de serrambi e dá outras providências.,outra,outra
142,1155,1997,"Autoriza o poder executivo municipal a efetuar a concessão de direito real de uso, de 32 (trinta e duas) casas, recentemente construídas no bairro de rurópolis.",autoriza poder executivo,outra
143,1156,1997,Autoriza o poder executivo a firmar acordo de parcelamento de dívida para com o fundo de garantia do tempo de serviço.,autoriza poder executivo,outra
144,1157,1998,Abre crédito especial e dá outras providencias.,outra,outra
145,1158,1998,"Dispõe sobre o programa municipal e agentes comunitários de saúde sua estrutura e funcionamento, e dá outras providências.",dispõe,outra
146,1159,1998,Concede redução de juros de mora e de multas na forma em que dispõe e dá outras providencias.,concede,outra
147,1160,1998,Dispõe sobre a criação do conselho municipal de acompanhamento e controle social do fundo de manu -tenção e desenvolvimento do ensino fundamental é de valorização do magistério.,dispõe,criação
148,1161,1998,Autoriza abertura de crédito adicional especial e dá outras providencias.,autoriza poder executivo,crédito
149,1162,1998,"Concede redução da alíquota de imposto sobre serviços de qualquer natureza iss, a empresa suape e dá outras providencias.",concede,outra
150,1163,1998,"Cria cargos de provimento efetivo na na estrutura do poder executivo, e dá outras providencias.",cria,cargos
151,1164,1998,Autoriza abertura de crédito adicional especial e dá outras providencias.,autoriza poder executivo,crédito
152,1165,1998,Dispõe sobre a contratação temporária de pessoal e dá outras providencias.,dispõe,contratação
153,1166,1998,Altera simbologia de cargo de provimento em comissão e dá outras providencias.,altera lei,-
154,1167,1998,"Dota de nomes as ruas e avenidas do loteamento santo antônio no distrito de camela, neste município e dá outras providencias.",outra,outra
155,1168,1998,Estabelece as diretrizes orçamentárias do município de ipojuca paia o exerci -cio de 1999 e dá outras providencias.,receitas e despesas,estabelece
156,1169,1998,Dispõe sobre a destinação do lixo urbano: a sua reciclagem pela cooperativa agro-industrial de reciclagem de lixo de ipojuca ltda.,dispõe,outra
157,1170,1998,Autoriza a abertura de crédito adicional suplementar e dá outras providencias.,autoriza poder executivo,crédito
158,1171,1998,Autoriza a abertura de crédito adicional suplementar e dá outras providências.,autoriza poder executivo,crédito
159,1172,1998,Autoriza a abertura de crédito adicional suplementar e dá outras providências.,autoriza poder executivo,crédito
160,1173,1998,Concede abono provisório aos servidores municipais do grupo magistério e dá outras providencias.,concede,outra
161,1174,1998,"Concede isenção de imposto sobre serviço de qualquer natureza - iss, incidente sobre a construção civil da unidade fabril da empresa fortilit e dá outras providencias.",concede,outra
162,1175,1998,"Altera dispositivo da lei n° 737, de 18 de maio de 1977 e dá outras providencias.",altera lei,-
163,1176,1998,"Cria cargo em comissão no âmbito da secretaria de educação, cultura e esportes e dá outras providencias.",cria,outra
164,1177,1998,Denomina artéria pública e dá outras providências.,denomina,artéria
165,1178,1998,Nan,outra,outra
166,1179,1998,Nan,outra,outra
167,1180,1998,Nan,outra,outra
168,1181,1998,Institui o código tributário do município do ipojuca e dá outras providências.,institui,código
169,1182,1999,Dispõe sobre a criação dos conselhos tutelares no estatuto da criança e do adolescente e dá. outras providências.,dispõe,criação
170,1183,1999,Fixa o subsídio dos vereadores deste município para os exercícios de 1999 a 2000 da presente legislatura e dá outras providências.,receitas e despesas,fixa
171,1184,1999,"Fixa os subsídios do prefeito, do viceprefeito e dos secretários municipais do ipojuca-pe, para os exercícios de 1999 e 2000 da presente legislatura e dá outras providências.",receitas e despesas,fixa
172,1185,1999,"Dispõe sobre a reorganização do quadro de pessoal da câmara municipal de ipojuca-pe, extingue e cria cargos, fixa vencimentos e dá outras providências.",dispõe,outra
173,1186,1999,"Altera a redação do art. 2°, e seus § 1°, 2°, 3°, 4° e 5°; e os art. 7°. art. 10 e inciso vii do art. 11, da lei 1064/94.",altera lei,-
174,1187,1999,Denomina artéria pública e dá outras providências.,denomina,artéria
175,1188,1999,Dispõe sobre as diretrizes orçamentarias para o exercício de 2000 e dá outras providências.,dispõe,diretrizes
176,1189,1999,Denomina artéria pública e dá outras providências.,denomina,artéria
177,1190,1999,Adequa o piso salarial dos funcionários públicos do município ao valor do salário mínimo e dá outras providências.,outra,outra
178,1191,1999,"Autoriza o poder executivo municipal a transformar em área de lazer, a área correspondente a rua projetada existente entre as quadras g-1 e g-2, do loteamento merepe ii, em porto de galinhas, neste município, e dá outras providências.",autoriza poder executivo,outra
179,1192,1999,Desafeta imóvel de domínio público e dá outras providências.,desafeta,outra
180,1193,1999,"Autoriza os poderes executivo e legislativo do município do ipojuca, pernambuco, a custear despesas médico-hospitalares do prefeito, viceprefeito, vereadores, secretários municipais, com tratamento médico-hospitalar e dá outras providências.",autoriza poder executivo,outra
181,1194,1999,?,?,outra
182,1195,1999,Autoriza a abertura de crédito adicional suplementar e dá outras providências.,autoriza poder executivo,crédito
183,1196,1999,Dispõe sobre a abertura de crédito especial e dá outras providências.,dispõe,abertura
184,1197,1999,Institui o programa de garantia de renda mínima destinado às famílias carentes.,institui,programa
185,1198,1999,Institui a gratificação adicional de risco de vida e dá outras providência,institui,outra
186,1199,1999,"Reajusta os valores de vencimento dos servidores públicos civis do poder cargos executivo municipal, exceto comissionados, e dá outras providências.",reajusta,outra
187,1200,1999,Estima a reita e fixa a despesa para o exercício financeiro de 2000.,receitas e despesas,estima
188,1201,1999,Dispõe sobre a revisão do plano plurianual de investimentos para 2000 a 2001 e dá outras providências.,dispõe,revisão
189,1202,1999,"Concede redução da alíquota de imposto sobre serviço de qualquer natureza - iss, a empresa suape - complexo industrial portuário e dá outras providências.",concede,outra
190,1203,2000,"Dota de nomes, as alamedas e ruas do loteamento merepe, na praia de porto de galinhas, neste município, e dá outras providências.",outra,outra
191,1204,2000,"Dota de nomes, a avenida paralela à avenida beira mar e as ruas do loteamento merepe ii, na praia de porto de galinhas, neste município, e dá outras providências.",outra,outra
192,1205,2000,Dispõe sobre abertura de crédito suplementar e dá providências correlatas.,dispõe,crédito
193,1206,2000,"Autoriza ao poder executivo a afetar área de terreno, anteriormente desafetada, para destinação de uso especial em playground, quadra de esporte e área verde e dá outras providencias.",autoriza poder executivo,outra
194,1207,2000,"Autoriza o poder executivo, doar área de terras, a igreja evangélica assembleia de deus.",autoriza poder executivo,outra
195,1208,2000,"Altera e introduz acréscimo a dispositivo da lei n° 1182, de 12 de janeiro de 1999 e dá outras providências.",altera lei,-
196,1209,2000,Cria a diretoria geral de administração tributária e dá outras providencias.,cria,outra
197,1210,2000,"Dispõe sobre a interveniência da prefeitura em operações de crédito, para os servidores públicos do município e dá outras providências.",dispõe,outra
198,1211,2000,Altera o valor do salário mínimo e dá outras providência,altera lei,-
199,1212,2000,Dispõe sobre abertura de crédito suplementar e dá outras providência,dispõe,crédito
200,1213,2000,Dispõe sobre abertura de crédito especial e dá outras providência,dispõe,crédito
201,1214,2000,"Autoriza o poder executivo, doar uma área de terra às pessoas que ali ocupam e estão cadastradas na secretaria de obras do município e dá outras providências.",autoriza poder executivo,outra
202,1215,2000,"Autoriza o poder executivo, fazer contrato de comodato de uma área de terras ao banco do brasil s/a, e dá outras providências.",autoriza poder executivo,outra
203,1216,2000,"Dota de nomes, as avenidas e ruas do loteamento da enseadinha de serrambí e dá outras providências.",outra,outra
